1,1875,SOYA TAXTUIEL 90G,1,2,1,0,68,80,125,51,30,
2,2173,FITO-ORANGE/MANGO 200ML,1,2,6,0,44,50,22,121,30,
3,332,BABY RUSKS 60G,1,2,1,1,95.05,110,125,14,30,
4,333,BABY RUSKS 100G,1,2,1,1,146.88,170,125,14,30,
5,334,BEECEE BISCUITS 100G,1,2,1,1,60.48,70,125,14,30,
6,335,BOURBON 100G,1,2,1,1,51.84,60,125,14,30,
7,336,BRAN CRACKER 240G,1,2,1,1,86.4,100,125,14,30,
8,337,CHEESE BUTTON 170G,1,2,1,1,155.52,180,125,14,30,
9,338,CHEESE BUTTON 215G,1,2,1,1,276.48,320,125,14,30,
10,339,CHEESE CRACKER 200G,1,2,1,1,86.4,100,125,14,30,
11,340,CHEESE CRACKER 100G,1,2,1,1,43.2,50,125,14,30,
12,341,CHEESE 170G,1,2,1,1,129.6,150,125,14,30,
13,342,CHOCHIP COOKIES 100G,1,2,1,1,76.03,90,125,14,30,
14,343,CHOCO CREAM 400G,1,2,1,1,146.88,170,125,14,30,
15,344,CHOCOLATE CAROLS 275G,1,2,1,1,129.6,150,125,14,30,
16,345,CHOCOLATE CAROLS 100G,1,2,1,1,47.52,55,125,14,30,
17,346,CHOCOLATE CREAM 100G,1,2,1,1,45.67,55,125,14,30,
18,347,CHOCOLATE CREAM 400G,1,2,1,1,166.08,200,125,14,30,
19,348,ROUNDZ 100G,1,2,1,1,43.2,50,125,14,30,
20,349,CHOCOLATE MARIE 400G,1,2,1,1,146.88,170,125,14,30,
21,350,CHOCOLATE MARIE 90G,1,2,1,1,34.56,40,125,14,30,
22,351,CHOCOLATE PUFF 100G,1,2,1,1,47.52,55,125,14,30,
23,352,CHOCOLATE PUFF 200G,1,2,1,1,86.4,100,125,14,30,
24,356,CRUNGHEE CAROL 100G,1,2,1,1,43.2,50,125,14,30,
25,357,CRUNCHEE CAROL 275G,1,2,1,1,112.32,130,125,14,30,
26,358,CUSTARD CREAM 100G,1,2,1,1,43.2,50,125,14,30,
27,359,DIGESTIVE 125G,1,2,1,1,86.4,100,125,14,30,
28,360,GEM 100G,1,2,1,1,42.24,50,125,14,30,
29,361,GEM 15G CBL,1,2,1,1,8.64,10,125,14,30,
30,362,GIFT ASST 400G,1,2,1,1,241.92,280,125,14,30,
31,363,GINGER BIS 400G,1,2,1,1,160.51,190,125,14,30,
32,364,GINGER BIS 80G,1,2,1,1,42.24,50,125,14,30,
33,365,GINGER ZING,1,2,1,1,69.12,80,125,14,30,
34,366,GLUCOFIT,1,2,1,1,34.56,40,125,14,30,
35,367,HAWAIAN COOKIES 100G,1,2,1,1,47.52,55,125,14,30,
36,368,HAWAIAN COOKIES 200G,1,2,1,1,86.4,100,125,14,30,
37,369,KALO 90G,1,2,1,1,69.12,80,125,14,30,
38,370,KARAPINCHA 100G,1,2,1,1,69.12,80,125,14,30,
39,371,KOME 100G,1,2,1,1,86.4,100,125,14,30,
40,372,KOME 50G,1,2,1,1,43.2,50,125,14,30,
