ProductId,Quantity,ExpiryDate,PriceId
5911,500,2017-08-16,2908
5912,500,2017-08-17,2909
5913,490,2017-08-18,2910
5914,441,2017-08-19,2911
5915,474,2017-08-20,2912
5916,453,2017-08-21,2913
5917,467,2017-08-22,2914
5918,358,2017-08-23,2915
5919,411,2017-08-24,2916
5920,414,2017-08-25,2917
5921,377,2017-08-26,2918
5922,421,2017-08-27,2919
5923,370,2017-08-28,2920
5924,448,2017-08-29,2921
5925,451,2017-08-30,2922
5926,469,2017-08-31,2923
5927,500,2017-09-01,2924
5928,467,2017-09-02,2925
5929,448,2017-09-03,2926
5930,487,2017-09-04,2927
5931,489,2017-09-05,2928
5932,490,2017-09-06,2929
5933,500,2017-09-07,2930
5934,487,2017-09-08,2931
5935,500,2017-09-09,2932
5936,488,2017-09-10,2933
5937,500,2017-09-11,2934
5938,500,2017-09-12,2935
5939,488,2017-09-13,2936
5940,499,2017-09-14,2937
5941,500,2017-09-15,2938
5942,440,2017-09-16,2939
5943,500,2017-09-17,2940
5944,500,2017-09-18,2941
5945,500,2017-09-19,2942
5946,488,2017-09-20,2943
5947,499,2017-09-21,2944
5948,498,2017-09-22,2945
5949,490,2017-09-23,2946
5950,500,2017-09-24,2947
5951,470,2017-09-25,2948
5952,490,2017-09-26,2949
5953,500,2017-09-27,2950
5954,500,2017-09-28,2951
5955,488,2017-09-29,2952
5956,500,2017-09-30,2953
5957,500,2017-10-01,2954
5958,499,2017-10-02,2955
5959,500,2017-10-03,2956
5960,500,2017-10-04,2957
5961,500,2017-10-05,2958
5962,477,2017-10-06,2959
5963,500,2017-10-07,2960
5964,500,2017-10-08,2961
5965,500,2017-10-09,2962
5966,500,2017-10-10,2963
5967,500,2017-10-11,2964
5968,446.5,2017-10-12,2965
5969,468.5,2017-10-13,2966
5970,490,2017-10-14,2967
5971,500,2017-10-15,2968
5972,488,2017-10-16,2969
5973,500,2017-10-17,2970
5974,478,2017-10-18,2971
5975,500,2017-10-19,2972
5976,500,2017-10-20,2973
5977,500,2017-10-21,2974
5978,478,2017-10-22,2975
5979,500,2017-10-23,2976
5980,499,2017-10-24,2977
5981,500,2017-10-25,2978
5982,500,2017-10-26,2979
5983,500,2017-10-27,2980
5984,500,2017-10-28,2981
5985,490,2017-10-29,2982
5986,500,2017-10-30,2983
5987,500,2017-10-31,2984
5988,500,2017-11-01,2985
5989,500,2017-11-02,2986
5990,500,2017-11-03,2987
5991,500,2017-11-04,2988
5992,500,2017-11-05,2989
5993,500,2017-11-06,2990
5994,500,2017-11-07,2991
5995,500,2017-11-08,2992
5996,500,2017-11-09,2993
5997,500,2017-11-10,2994
5998,500,2017-11-11,2995
5999,500,2017-11-12,2996
6000,500,2017-11-13,2997
6001,500,2017-11-14,2998
6002,500,2017-11-15,2999
6003,500,2017-11-16,3000
6004,500,2017-11-17,3001
6005,500,2017-11-18,3002
6006,500,2017-11-19,3003
6007,500,2017-11-20,3004
6008,500,2017-11-21,3005
6009,500,2017-11-22,3006
6010,500,2017-11-23,3007
6011,500,2017-11-24,3008
6012,500,2017-11-25,3009
6013,500,2017-11-26,3010
6014,500,2017-11-27,3011
6015,500,2017-11-28,3012
6016,500,2017-11-29,3013
6017,500,2017-11-30,3014
6018,500,2017-12-01,3015
6019,500,2017-12-02,3016
6020,500,2017-12-03,3017
6021,500,2017-12-04,3018
6022,500,2017-12-05,3019
6023,500,2017-12-06,3020
6024,500,2017-12-07,3021
6025,500,2017-12-08,3022
6026,500,2017-12-09,3023
6027,500,2017-12-10,3024
6028,500,2017-12-11,3025
6029,500,2017-12-12,3026
6030,500,2017-12-13,3027
6031,500,2017-12-14,3028
6032,500,2017-12-15,3029
6033,500,2017-12-16,3030
6034,500,2017-12-17,3031
6035,500,2017-12-18,3032
6036,500,2017-12-19,3033
6037,500,2017-12-20,3034
6038,500,2017-12-21,3035
6039,500,2017-12-22,3036
6040,500,2017-12-23,3037
6041,500,2017-12-24,3038
6042,500,2017-12-25,3039
6043,500,2017-12-26,3040
6044,500,2017-12-27,3041
6045,500,2017-12-28,3042
6046,500,2017-12-29,3043
6047,500,2017-12-30,3044
6048,500,2017-12-31,3045
6049,500,2018-01-01,3046
6050,500,2018-01-02,3047
6051,500,2018-01-03,3048
6052,498,2018-01-04,3049
6053,500,2018-01-05,3050
6054,473.5,2018-01-06,3051
6055,500,2018-01-07,3052
6056,500,2018-01-08,3053
6057,500,2018-01-09,3054
6058,500,2018-01-10,3055
6059,500,2018-01-11,3056
6060,500,2018-01-12,3057
6061,500,2018-01-13,3058
6062,500,2018-01-14,3059
6063,500,2018-01-15,3060
6064,500,2018-01-16,3061
6065,500,2018-01-17,3062
6066,500,2018-01-18,3063
6067,500,2018-01-19,3064
6068,500,2018-01-20,3065
6069,500,2018-01-21,3066
6070,500,2018-01-22,3067
6071,500,2018-01-23,3068
6072,500,2018-01-24,3069
6073,500,2018-01-25,3070
6074,500,2018-01-26,3071
6075,500,2018-01-27,3072
6076,500,2018-01-28,3073
6077,500,2018-01-29,3074
6078,500,2018-01-30,3075
6079,500,2018-01-31,3076
6080,500,2018-02-01,3077
6081,500,2018-02-02,3078
6082,500,2018-02-03,3079
6083,500,2018-02-04,3080
6084,500,2018-02-05,3081
6085,500,2018-02-06,3082
6086,500,2018-02-07,3083
6087,500,2018-02-08,3084
6088,500,2018-02-09,3085
6089,500,2018-02-10,3086
6090,500,2018-02-11,3087
6091,500,2018-02-12,3088
6092,500,2018-02-13,3089
6093,500,2018-02-14,3090
6094,500,2018-02-15,3091
6095,500,2018-02-16,3092
6096,500,2018-02-17,3093
6097,500,2018-02-18,3094
6098,500,2018-02-19,3095
6099,500,2018-02-20,3096
6100,500,2018-02-21,3097
6101,500,2018-02-22,3098
6102,500,2018-02-23,3099
6103,500,2018-02-24,3100
6104,500,2018-02-25,3101
6105,500,2018-02-26,3102
6106,500,2018-02-27,3103
6107,500,2018-02-28,3104
6108,500,2018-03-01,3105
6109,500,2018-03-02,3106
6110,500,2018-03-03,3107
6111,500,2018-03-04,3108
6112,500,2018-03-05,3109
